Property Type,Bed,Bath,Area,Location,Price,,,,,,,,,,,
Apartment,3,3,1335,Sector 10," 10,500,000",,,,,,,,,,,
Apartment,3,3,1550,Sector 5,"10,600,000",,,,,,,,,,,
Apartment,4,3,1900,Sector 12," 10,800,000",,,,,,,,,,,
Apartment,3,3,1450,Sector 11," 11,000,000",,,,,,,,,,,
Apartment,3,3,1400,Sector 7," 11,000,000",,,,,,,,,,,
Apartment,3,4,1567,Sector 6," 11,000,000",,,,,,,,,,,
Apartment,3,3,1400,Sector 12," 11,000,000",,,,,,,,,,,
Apartment,3,3,1650,Sector 12," 11,000,000",,,,,,,,,,,
Apartment,3,3,1400,Sector 10," 11,000,000",,,,,,,,,,,
Apartment,4,4,1850,Sector 11," 11,000,000",,,,,,,,,,,
Apartment,3,3,1650,Sector 13," 11,000,000",,,,,,,,,,,
Apartment,4,3,1600,Sector 10," 11,000,000",,,,,,,,,,,
Apartment,3,4,1555,Sector 5," 11,000,000",,,,,,,,,,,
Apartment,3,5,1650,Sector 9," 11,000,000",,,,,,,,,,,
Apartment,3,3,1550,Sector 4," 11,000,000",,,,,,,,,,,
Apartment,3,3,1475,Sector 10," 11,000,000",,,,,,,,,,,
Apartment,3,3,1472,Sector 9," 11,000,000",,,,,,,,,,,
Apartment,3,4,1376,Sector 7," 11,000,000",,,,,,,,,,,
Apartment,3,3,1513,Sector 13," 11,000,000",,,,,,,,,,,
Apartment,3,3,1600,Sector 4," 11,000,000",,,,,,,,,,,
Apartment,3,3,1650,Sector 11," 11,000,000",,,,,,,,,,,
Apartment,3,3,1552,Sector 13," 11,000,000",,,,,,,,,,,
Apartment,3,4,1550,Sector 10," 11,000,000",,,,,,,,,,,
Apartment,3,3,1450,Sector 5," 11,000,000",,,,,,,,,,,
Apartment,3,3,1450,Sector 4," 11,000,000",,,,,,,,,,,
Apartment,3,3,1470,Sector 9," 11,000,000",,,,,,,,,,,
Apartment,3,4,1800,Sector 12," 11,000,000",,,,,,,,,,,
Apartment,3,3,1472,Sector 10," 11,000,000",,,,,,,,,,,
Apartment,3,3,1500,Sector 10," 11,000,000",,,,,,,,,,,
Apartment,4,4,1700,Sector 12," 11,050,000",,,,,,,,,,,
Apartment,3,3,1550,Sector 11," 11,160,000",,,,,,,,,,,
Apartment,3,3,1345,Sector 11," 11,200,000",,,,,,,,,,,
Apartment,3,3,1500,Sector 7," 11,250,000",,,,,,,,,,,
Apartment,3,3,1600,Sector 7," 11,500,000",,,,,,,,,,,
Apartment,3,3,1515,Sector 13," 11,500,000",,,,,,,,,,,
Apartment,3,3,1950,Sector 12," 11,500,000",,,,,,,,,,,
Apartment,3,3,1587,Sector 10," 11,500,000",,,,,,,,,,,
Apartment,3,4,1443,Sector 12," 11,500,000",,,,,,,,,,,
Apartment,3,3,1500,Sector 4," 11,500,000",,,,,,,,,,,
Apartment,3,4,1900,Sector 10," 11,500,000",,,,,,,,,,,
Apartment,3,3,1450,Sector 13," 11,500,000",,,,,,,,,,,
Apartment,3,3,1550,Sector 9," 11,500,000",,,,,,,,,,,
Apartment,3,4,1450,Sector 1," 11,500,000",,,,,,,,,,,
Apartment,3,4,1810,Sector 4," 11,500,000",,,,,,,,,,,
Apartment,4,5,1800,Sector 14," 11,500,000",,,,,,,,,,,
Apartment,3,3,1664,Sector 11," 11,648,000",,,,,,,,,,,
Apartment,3,4,1472,Sector 9," 11,700,000",,,,,,,,,,,
Apartment,3,3,2130,Sector 10," 11,715,000",,,,,,,,,,,
Apartment,3,4,1650,Sector 12," 11,725,000",,,,,,,,,,,
Apartment,3,4,1760,Sector 4," 11,800,000",,,,,,,,,,,
Apartment,3,3,1558,Sector 13," 11,800,000",,,,,,,,,,,
Apartment,3,3,1580,Sector 12," 11,900,000",,,,,,,,,,,
Apartment,3,3,1575,Sector 7," 12,000,000",,,,,,,,,,,
Apartment,3,3,1557,Sector 13," 12,000,000",,,,,,,,,,,
Apartment,3,4,1394,Sector 13," 12,000,000",,,,,,,,,,,
Apartment,3,4,1514,Sector 12," 12,000,000",,,,,,,,,,,
Apartment,4,4,2100,Sector 10," 12,000,000",,,,,,,,,,,
Apartment,3,4,1660,Sector 11," 12,000,000",,,,,,,,,,,
Apartment,3,4,1600,Sector 13," 12,000,000",,,,,,,,,,,
Apartment,3,4,1560,Sector 11," 12,000,000",,,,,,,,,,,
Apartment,3,4,1380,Sector 3," 12,000,000",,,,,,,,,,,
Apartment,3,4,1750,Sector 5," 12,000,000",,,,,,,,,,,
Apartment,3,3,1000,Sector 10," 12,000,000",,,,,,,,,,,
Apartment,3,4,2033,Sector 10," 12,000,000",,,,,,,,,,,
Apartment,3,3,1415,Sector 3," 12,000,000",,,,,,,,,,,
Apartment,3,5,1900,Sector 10," 12,000,000",,,,,,,,,,,
Apartment,3,3,1725,Sector 10," 12,000,000",,,,,,,,,,,
Apartment,3,4,1500,Sector 7," 12,000,000",,,,,,,,,,,
Apartment,3,4,1650,Sector 12," 12,000,000",,,,,,,,,,,
Apartment,3,2,1750,Sector 10," 12,000,000",,,,,,,,,,,
Apartment,3,3,1760,Sector 4," 12,000,000",,,,,,,,,,,
Apartment,5,5,1800,Sector 13," 12,000,000",,,,,,,,,,,
Apartment,3,4,1650,Sector 12," 12,300,000",,,,,,,,,,,
Apartment,3,4,1895,Sector 5," 12,317,500",,,,,,,,,,,
Apartment,3,3,1650,Sector 9," 12,500,000",,,,,,,,,,,
Apartment,3,3,1707,Sector 4," 12,500,000",,,,,,,,,,,
Apartment,3,3,1750,Sector 12," 12,500,000",,,,,,,,,,,
Apartment,3,3,1415,Sector 3," 12,500,000",,,,,,,,,,,
Apartment,3,3,1523,Sector 3," 12,500,000",,,,,,,,,,,
Apartment,3,3,1430,Sector 3," 12,500,000",,,,,,,,,,,
Apartment,3,4,1600,Sector 5," 12,500,000",,,,,,,,,,,
Apartment,2,3,1615,Sector 10," 12,500,000",,,,,,,,,,,
Apartment,3,3,1550,Sector 14," 12,500,000",,,,,,,,,,,
Apartment,3,4,1600,Sector 5," 12,500,000",,,,,,,,,,,
Apartment,3,4,1686,Sector 7," 12,500,000",,,,,,,,,,,
Apartment,3,4,1686,Sector 7," 12,500,000",,,,,,,,,,,
Apartment,3,3,1450,Sector 6," 12,500,000",,,,,,,,,,,
Apartment,3,3,1500,Sector 7," 12,500,000",,,,,,,,,,,
Apartment,3,3,1500,Sector 10," 12,750,000",,,,,,,,,,,
Apartment,3,4,1865,Sector 6,"12,800,000",,,,,,,,,,,
Apartment,4,4,1500,Sector 3,"12,800,000",,,,,,,,,,,
Apartment,3,4,1503,Sector 13," 13,000,000",,,,,,,,,,,
Apartment,3,4,1525,Sector 11," 13,000,000",,,,,,,,,,,
Apartment,3,3,1508,Sector 11," 13,000,000",,,,,,,,,,,
Apartment,3,3,1626,Sector 6," 13,000,000",,,,,,,,,,,
Apartment,4,5,2590,Sector 14," 13,000,000",,,,,,,,,,,
Apartment,3,3,1690,Sector 6," 13,000,000",,,,,,,,,,,
Apartment,3,3,2150,Sector 10," 13,000,000",,,,,,,,,,,
Apartment,3,4,2104,Sector 10," 13,000,000",,,,,,,,,,,
Apartment,3,4,1500,Sector 14," 13,000,000",,,,,,,,,,,
Apartment,3,3,1568,Sector 11," 13,000,000",,,,,,,,,,,
Apartment,3,5,1750,Sector 4," 13,000,000",,,,,,,,,,,
Apartment,4,4,1774,Sector 5," 13,000,000",,,,,,,,,,,
Apartment,4,5,2100,Sector 10," 13,000,000",,,,,,,,,,,
Apartment,3,3,1600,Sector 13," 13,200,000",,,,,,,,,,,
Apartment,3,4,1774,Sector 5," 13,300,000",,,,,,,,,,,
Apartment,3,4,1895,Sector 5," 13,400,000",,,,,,,,,,,
Apartment,3,3,1787,Sector 9," 13,500,000",,,,,,,,,,,
Apartment,3,3,2200,Sector 9," 13,500,000",,,,,,,,,,,
Apartment,3,3,1550,Sector 3," 13,500,000",,,,,,,,,,,
Apartment,3,3,2000,Sector 11," 13,500,000",,,,,,,,,,,
Apartment,4,3,1560,Sector 4," 13,500,000",,,,,,,,,,,
Apartment,3,3,1860,Sector 9," 13,500,000",,,,,,,,,,,
Apartment,3,3,1554,Sector 6," 13,500,000",,,,,,,,,,,
Apartment,3,4,1500,Sector 12," 13,500,000",,,,,,,,,,,
Apartment,4,4,1880,Sector 10," 13,500,000",,,,,,,,,,,
Apartment,3,3,1630,Sector 9," 13,500,000",,,,,,,,,,,
Apartment,3,4,1830,Sector 7," 13,500,000",,,,,,,,,,,
Apartment,3,3,1750,Sector 3," 13,500,000",,,,,,,,,,,
Apartment,3,4,1835,Sector 7," 13,500,000",,,,,,,,,,,
Apartment,3,3,1679,Sector 13," 13,500,000",,,,,,,,,,,
Apartment,3,3,1679,Sector 13," 13,500,000",,,,,,,,,,,
Apartment,3,3,1800,Sector 13," 13,500,000",,,,,,,,,,,
Apartment,3,3,1700,Sector 9," 13,600,000",,,,,,,,,,,
Apartment,3,3,1600,Sector 3," 13,600,000",,,,,,,,,,,
Apartment,3,3,1440,Sector 4," 13,680,000",,,,,,,,,,,
Apartment,3,4,2040,Sector 10," 13,800,000",,,,,,,,,,,
Apartment,3,4,1505,Sector 11," 14,000,000",,,,,,,,,,,
Apartment,3,3,1500,Sector 12," 14,000,000",,,,,,,,,,,
Apartment,3,3,1750,Sector 7," 14,000,000",,,,,,,,,,,
Apartment,4,3,2050,Sector 10," 14,000,000",,,,,,,,,,,
Apartment,3,4,1770,Sector 7," 14,160,000",,,,,,,,,,,
Apartment,3,3,1692,Sector 11," 14,200,000",,,,,,,,,,,
Apartment,3,3,1800,Sector 7," 14,400,000",,,,,,,,,,,
Apartment,3,3,1800,Sector 7," 14,400,000",,,,,,,,,,,
Apartment,3,3,1650,Sector 3," 14,437,500",,,,,,,,,,,
Apartment,4,5,2400,Sector 10," 14,500,000",,,,,,,,,,,
Apartment,3,4,1710,Sector 5," 14,500,000",,,,,,,,,,,
Apartment,3,4,2050,Sector 5," 14,700,000",,,,,,,,,,,
Apartment,4,4,2100,Sector 14," 14,700,000",,,,,,,,,,,
Apartment,3,4,1960,Sector 6," 14,850,000",,,,,,,,,,,
Apartment,3,3,1878,Sector 7," 15,000,000",,,,,,,,,,,
Apartment,3,4,2027,Sector 3," 15,000,000",,,,,,,,,,,
Apartment,3,3,1500,Sector 1," 15,000,000",,,,,,,,,,,
Apartment,3,4,1777,Sector 3," 15,000,000",,,,,,,,,,,
Apartment,3,4,1300,Sector 12," 15,000,000",,,,,,,,,,,
Apartment,3,3,1578,Sector 4," 15,000,000",,,,,,,,,,,
Apartment,4,3,2050,Sector 10," 15,000,000",,,,,,,,,,,
Apartment,4,4,2200,Sector 7," 15,000,000",,,,,,,,,,,
Apartment,3,4,1750,Sector 4," 15,000,000",,,,,,,,,,,
Apartment,3,4,1966,Sector 3," 15,200,000",,,,,,,,,,,
Apartment,3,4,1646,Sector 4," 15,200,000",,,,,,,,,,,
Apartment,3,4,2050,Sector 5," 15,300,000",,,,,,,,,,,
Apartment,3,4,1700,Sector 9," 15,300,000",,,,,,,,,,,
Apartment,3,3,1450,Sector 3," 15,500,000",,,,,,,,,,,
Apartment,3,3,1550,Sector 10," 15,500,000",,,,,,,,,,,
Apartment,3,4,1971,Sector 3," 15,782,500",,,,,,,,,,,
Apartment,3,4,2009,Sector 7," 15,800,000",,,,,,,,,,,
Apartment,3,4,1770,Sector 7," 15,930,000",,,,,,,,,,,
Apartment,3,4,1992,Sector 7," 16,000,000",,,,,,,,,,,
Apartment,3,3,2004,Sector 4," 16,000,000",,,,,,,,,,,
Apartment,3,4,1992,Sector 7," 16,000,000",,,,,,,,,,,
Apartment,3,3,1734,Sector 3," 16,000,000",,,,,,,,,,,
Apartment,3,3,2100,Sector 4," 16,000,000",,,,,,,,,,,
Apartment,3,3,2024,Sector 4," 16,200,000",,,,,,,,,,,
Apartment,3,3,2024,Sector 4," 16,200,000",,,,,,,,,,,
Apartment,3,4,1916,Sector 7," 16,286,000",,,,,,,,,,,
Apartment,3,3,1600,Sector 3,"16,440,000",,,,,,,,,,,
Apartment,3,4,1810,Sector 4," 16,500,000",,,,,,,,,,,
Apartment,3,4,2220,Sector 4," 16,500,000",,,,,,,,,,,
Apartment,3,4,1500,Sector 14," 16,500,000",,,,,,,,,,,
Apartment,4,4,2400,Sector 10," 16,500,000",,,,,,,,,,,
Apartment,3,3,2200,Sector 4," 16,500,000",,,,,,,,,,,
Apartment,3,3,2000,Sector 10," 16,500,000",,,,,,,,,,,
Apartment,3,3,1800,Sector 4," 16,560,000",,,,,,,,,,,
Apartment,3,4,1951,Sector 9," 16,583,500",,,,,,,,,,,
Apartment,3,3,1942,Sector 7," 16,800,000",,,,,,,,,,,
Apartment,3,4,1800,Sector 9," 16,800,000",,,,,,,,,,,
Apartment,3,4,2100,Sector 5," 16,800,000",,,,,,,,,,,
Apartment,3,3,1650,Sector 3,"16,922,500",,,,,,,,,,,
Apartment,3,3,1650,Sector 3,"16,922,500",,,,,,,,,,,
Apartment,3,4,1695,Sector 7," 16,950,000",,,,,,,,,,,
Apartment,3,3,1900,Sector 7," 17,000,000",,,,,,,,,,,
Apartment,3,3,1700,Sector 7," 17,000,000",,,,,,,,,,,
Apartment,3,3,1734,Sector 3," 17,000,000",,,,,,,,,,,
Apartment,3,3,2100,Sector 4," 17,000,000",,,,,,,,,,,
Apartment,3,3,1734,Sector 7," 17,340,000",,,,,,,,,,,
Apartment,4,4,2050,Sector 5," 17,425,000",,,,,,,,,,,
Apartment,3,4,2180,Sector 3," 17,440,000",,,,,,,,,,,
Apartment,3,4,1620,Sector 7," 17,500,000",,,,,,,,,,,
Apartment,4,4,2880,Sector 13," 17,500,000",,,,,,,,,,,
Apartment,3,4,2188,Sector 3," 17,504,000",,,,,,,,,,,
Apartment,3,4,2250,Sector 3," 18,000,000",,,,,,,,,,,
Apartment,4,5,2197,Sector 5," 18,000,000",,,,,,,,,,,
Apartment,4,4,2540,Sector 13," 18,000,000",,,,,,,,,,,
Apartment,4,5,2500,Sector 4," 18,000,000",,,,,,,,,,,
Apartment,3,3,2111,Sector 3," 18,000,000",,,,,,,,,,,
Apartment,3,3,1800,Sector 4," 18,000,000",,,,,,,,,,,
Apartment,4,6,3038,Sector 10," 18,000,000",,,,,,,,,,,
Apartment,3,3,2346,Sector 3," 18,500,000",,,,,,,,,,,
Apartment,3,3,1760,Sector 5," 18,500,000",,,,,,,,,,,
Apartment,4,4,2058,Sector 3," 18,522,000",,,,,,,,,,,
Apartment,3,3,2070,Sector 7," 18,630,000",,,,,,,,,,,
Apartment,3,3,2070,Sector 7," 18,630,000",,,,,,,,,,,
Apartment,4,4,3000,Sector 10," 19,000,000",,,,,,,,,,,
Apartment,3,4,1680,Sector 11," 19,200,000",,,,,,,,,,,
Apartment,3,3,2130,Sector 3," 19,200,000",,,,,,,,,,,
Apartment,4,4,2150,Sector 13," 19,350,000",,,,,,,,,,,
Apartment,3,3,2083,Sector 6," 19,500,000",,,,,,,,,,,
Apartment,3,4,2250,Sector 3," 19,500,000",,,,,,,,,,,
Apartment,3,3,2100,Sector 4," 20,000,000",,,,,,,,,,,
Apartment,4,5,2025,Sector 6," 20,000,000",,,,,,,,,,,
Apartment,4,4,2181,Sector 6," 20,000,000",,,,,,,,,,,
Apartment,4,4,2500,Sector 7," 20,000,000",,,,,,,,,,,
Apartment,3,4,1786,Sector 9," 20,000,000",,,,,,,,,,,
Apartment,4,4,2200,Sector 4," 20,000,000",,,,,,,,,,,
Apartment,3,3,1830,Sector 1," 20,000,000",,,,,,,,,,,
Apartment,4,4,2500,Sector 7," 20,000,000",,,,,,,,,,,
Apartment,3,4,2200,Sector 3," 20,000,000",,,,,,,,,,,
Apartment,3,4,2286,Sector 6," 20,300,000",,,,,,,,,,,
Apartment,3,3,2184,Sector 9," 20,500,000",,,,,,,,,,,
Apartment,3,4,2280,Sector 4,"21,000,000",,,,,,,,,,,
Apartment,3,3,2220,Sector 4,"21,000,000",,,,,,,,,,,
Apartment,3,3,2600,Sector 9,"21,000,000",,,,,,,,,,,
Apartment,4,4,2365,Sector 7," 21,100,000",,,,,,,,,,,
Apartment,4,4,2365,Sector 7," 21,100,000",,,,,,,,,,,
Apartment,4,4,2490,Sector 3,"22,000,000",,,,,,,,,,,
Apartment,4,4,2150,Sector 4,"22,000,000",,,,,,,,,,,
Apartment,4,4,2200,Sector 4,"22,000,000",,,,,,,,,,,
Apartment,4,3,2225,Sector 7," 22,250,000",,,,,,,,,,,
Apartment,4,4,2700,Sector 7," 22,250,000",,,,,,,,,,,
Apartment,3,3,1500,Sector 6," 23,000,000",,,,,,,,,,,
Apartment,3,3,2200,Sector 3," 23,000,000",,,,,,,,,,,
Apartment,3,3,2300,Sector 4," 23,000,000",,,,,,,,,,,
Apartment,3,3,1540,Sector 13," 23,100,000",,,,,,,,,,,
Apartment,3,4,2250,Sector 3," 23,500,000",,,,,,,,,,,
Apartment,3,3,1650,Sector 7," 24,000,000",,,,,,,,,,,
Apartment,4,4,3480,Sector 10," 24,000,000",,,,,,,,,,,
Apartment,4,4,2200,Sector 7," 24,000,000",,,,,,,,,,,
Apartment,4,4,2200,Sector 7," 24,000,000",,,,,,,,,,,
Apartment,3,3,2153,Sector 4," 24,500,000",,,,,,,,,,,
Apartment,5,5,3070,Sector 3," 24,600,000",,,,,,,,,,,
Apartment,4,4,2700,Sector 13," 25,000,000",,,,,,,,,,,
Apartment,3,4,2300,Sector 1," 25,000,000",,,,,,,,,,,
Apartment,3,3,1400,Sector 12," 25,000,000",,,,,,,,,,,
Apartment,3,4,2300,Sector 1," 25,000,000",,,,,,,,,,,
Apartment,4,4,2500,Sector 7," 25,000,000",,,,,,,,,,,
Apartment,4,4,2250,Sector 4," 27,000,000",,,,,,,,,,,
Apartment,4,4,2600,Sector 5," 27,000,000",,,,,,,,,,,
Apartment,5,5,3400,Sector 7," 27,880,000",,,,,,,,,,,
Apartment,4,6,3050,Sector 7," 29,500,000",,,,,,,,,,,
Apartment,3,3,1680,Sector 4," 30,000,000",,,,,,,,,,,
Apartment,3,4,2575,Sector 3," 30,900,000",,,,,,,,,,,
Apartment,4,4,3000,Sector 13," 32,500,000",,,,,,,,,,,
Apartment,4,4,2300,Sector 4,"33,000,000",,,,,,,,,,,
Apartment,4,5,3200,Sector 4," 34,000,000",,,,,,,,,,,
Apartment,6,8,4368,Sector 3," 34,944,000",,,,,,,,,,,
Apartment,4,4,4111,Sector 3," 35,000,000",,,,,,,,,,,
Apartment,4,5,3235,Sector 3," 35,000,000",,,,,,,,,,,
Apartment,4,4,2577,Sector 3," 41,000,000",,,,,,,,,,,
Apartment,5,5,3700,Sector 9," 44,000,000",,,,,,,,,,,
